BOORS PLAIN,BOORS PLAIN SA 5554
CROSS ROADS,CROSS ROADS SA 5558
CUNLIFFE,CUNLIFFE SA 5554
EAST MOONTA,EAST MOONTA SA 5558
HAMLEY,HAMLEY SA 5558
JERICHO,JERICHO SA 5554
JERUSALEM,JERUSALEM SA 5554
KADINA,KADINA SA 5554
KOOROONA,KOOROONA SA 5558
MATTA FLAT,MATTA FLAT SA 5554
MOONTA,MOONTA SA 5558
MOONTA BAY,MOONTA BAY SA 5558
MOONTA MINES,MOONTA MINES SA 5558
NEW TOWN,NEW TOWN SA 5554
NEWTOWN,NEW TOWN SA 5554
NORTH BEACH,NORTH BEACH SA 5556
NORTH MOONTA,NORTH MOONTA SA 5558
NORTH YELTA,NORTH YELTA SA 5558
PARAMATTA,PARAMATTA SA 5558
PASKEVILLE,PASKEVILLE SA 5552
PORT HUGHES,PORT HUGHES SA 5558
THRINGTON,THRINGTON SA 5552
TICKERA,TICKERA SA 5555
WALLAROO,WALLAROO SA 5556
WALLAROO MINES,WALLAROO MINES SA 5554
WALLAROO PLAIN,WALLAROO PLAIN SA 5556
WARBURTO,WARBURTO SA 5556
WILLAMULKA,WILLAMULKA SA 5554
YELTA,YELTA SA 5558
